ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication,Quintil,int_rc,Tasa_Interes_Completa
10068,499,0.2262730969023417,56347,25,7,1,19780,0,28,Mortgage,Bachelor,Widowed,21,178020.0,3,0.2276251878196593,0.37762518781965926
10069,620,0.4196740502182668,46089,39,3,6,6485,4,1,Own,High School,Widowed,2,136185.0,1,0.08512817744480365,0.23512817744480363
10070,579,0.3687452927356688,131497,44,9,7,10685,8,17,Own,High School,Widowed,7,106850.0,2,0.19761649956052202,0.347616499560522
10071,767,0.9841589570473204,159146,30,9,1,18678,11,17,Mortgage,Masters,Married,14,149424.0,4,0.2528489935801739,0.4028489935801739
10072,695,0.3005582194523124,192932,27,5,0,14908,19,24,Mortgage,High School,Widowed,16,89448.0,4,0.24246909677519368,0.3924690967751937
10073,310,0.168542113732019,139368,26,6,19,13622,11,29,Own,Masters,Widowed,10,258818.0,5,0.2430944679172809,0.39309446791728087
10074,820,0.1457846007182559,96607,60,1,10,14090,16,11,Rent,Masters,Widowed,12,42270.0,2,0.19687463637061633,0.34687463637061633
10075,764,0.0724449473751327,45557,20,6,5,2640,1,7,Mortgage,Masters,Single,8,42240.0,1,0.07,0.22
10076,560,0.5771126589984643,132405,27,4,2,7430,5,0,Own,High School,Widowed,27,96590.0,2,0.19994389203150476,0.3499438920315048
10077,593,0.1068101195388474,164126,88,3,11,7745,0,1,Rent,Masters,Married,3,77450.0,1,0.11497800791079335,0.26497800791079335
10078,765,0.6761956901192232,56957,56,7,6,9170,6,17,Rent,High School,Widowed,0,128380.0,1,0.07,0.22
10079,458,0.5696963244630067,63412,71,5,16,12950,0,0,Rent,Masters,Widowed,9,142450.0,1,0.07,0.22
10080,753,0.1229742384958967,154919,32,9,7,18971,12,29,Own,Masters,Widowed,22,322507.0,4,0.2448009415302008,0.3948009415302008
10081,342,0.3650052651838616,48964,27,4,17,4511,2,1,Rent,High School,Widowed,19,94731.0,3,0.2245442372238554,0.3745442372238554
10082,737,0.0700189305448651,109765,31,6,16,8703,6,14,Own,Bachelor,Widowed,18,156654.0,5,0.258407864219644,0.40840786421964403
10083,409,0.4935539167804333,57667,23,8,5,16876,16,27,Mortgage,High School,Widowed,2,84380.0,2,0.19571849431188473,0.3457184943118847
10084,447,0.1287966775074743,142539,66,4,13,14739,6,8,Own,Masters,Widowed,10,58956.0,3,0.22635962363253248,0.3763596236325325
10085,597,0.2058229960393357,147794,19,4,6,10334,2,4,Mortgage,Masters,Single,10,196346.0,1,0.09290988983240253,0.24290988983240253
10086,644,0.9269345203968204,34579,20,6,7,16639,14,18,Rent,Masters,Widowed,24,66556.0,4,0.24839548745025836,0.3983954874502583
10087,751,0.7369897641101478,119716,51,3,7,7189,1,20,Rent,Masters,Widowed,11,122213.0,1,0.09849891823852142,0.2484989182385214
10088,790,0.4386684623610668,47672,50,9,1,4756,12,27,Rent,Masters,Widowed,13,80852.0,5,0.2385186461158554,0.3885186461158554
10089,519,0.3656851984435433,90090,37,9,11,8374,9,17,Mortgage,Masters,Divorced,3,75366.0,3,0.22639876637136166,0.37639876637136166
10090,395,0.3057215620803875,36183,30,8,12,10308,1,2,Mortgage,Bachelor,Widowed,11,41232.0,2,0.196464760274271,0.346464760274271
10091,833,0.3043620804173397,146802,86,6,9,12801,13,4,Own,High School,Widowed,21,89607.0,2,0.20195671137970134,0.3519567113797013
10092,802,0.0913651196862406,178772,31,5,7,9169,5,7,Rent,PhD,Widowed,3,174211.0,3,0.22270490948894936,0.37270490948894935
10093,750,0.9092657413306228,198049,57,9,3,14692,15,11,Mortgage,PhD,Widowed,11,176304.0,1,0.13220380056131392,0.2822038005613139
10094,439,0.0001352521913496,49158,51,0,4,4526,16,0,Own,High School,Widowed,26,54312.0,4,0.24844203358664774,0.39844203358664776
10095,800,0.0077371322756732,181505,29,7,15,19241,2,13,Mortgage,Masters,Divorced,9,288615.0,3,0.2239796516915586,0.37397965169155856
10096,469,0.5449938238426134,46232,30,2,2,4640,4,10,Rent,High School,Widowed,13,55680.0,2,0.19752408367786944,0.34752408367786947
10097,682,0.0804576004894517,98299,54,9,19,13207,0,7,Rent,High School,Widowed,16,26414.0,2,0.19265667664939426,0.34265667664939425
10098,596,0.0394293441021752,196221,33,8,13,16521,19,7,Mortgage,Masters,Divorced,6,82605.0,2,0.1959233899912211,0.3459233899912211
10099,649,0.0793409954697024,105013,60,2,12,10028,6,23,Rent,Masters,Widowed,1,70196.0,1,0.07,0.22
10100,845,0.9119523857707216,53133,25,3,7,1552,12,19,Rent,Masters,Widowed,13,17072.0,3,0.22693328221165454,0.37693328221165456
10101,437,0.101686777482996,99955,20,9,9,3256,9,28,Mortgage,Masters,Widowed,7,29304.0,2,0.19183176632768595,0.34183176632768597
10102,747,0.4807162563304257,181009,43,6,16,4211,2,2,Rent,Bachelor,Widowed,13,25266.0,3,0.2267699712633815,0.3767699712633815
10103,555,0.7969321363650979,169419,41,9,15,19626,12,3,Rent,Masters,Widowed,0,333642.0,1,0.07,0.22
10104,383,0.0715466141129781,199461,31,7,17,14446,0,17,Mortgage,Masters,Single,3,101122.0,5,0.23909934046439651,0.38909934046439654
10105,302,0.1907004823944699,127542,47,9,0,11313,4,10,Rent,Bachelor,Widowed,1,90504.0,1,0.07559343396943764,0.22559343396943765
10106,689,0.0966659145319912,113028,33,9,14,6271,0,1,Rent,High School,Widowed,22,119149.0,3,0.22107884479385786,0.3710788447938579
10107,363,0.00546684361211,153959,64,7,7,2872,1,2,Rent,Masters,Single,14,34464.0,1,0.0981408353720817,0.2481408353720817
10108,587,0.013013503128309,67350,89,8,0,13245,9,29,Own,High School,Widowed,0,105960.0,2,0.20001649524123527,0.35001649524123524
10109,718,0.2230414153304992,142665,33,9,2,19665,17,2,Mortgage,PhD,Widowed,19,275310.0,1,0.07,0.22
10110,630,0.0338955165106389,49487,54,3,0,19612,15,29,Rent,Masters,Widowed,7,274568.0,4,0.24309732216009805,0.3930973221600981
10111,786,0.2304503087086702,82613,42,3,11,4188,6,15,Mortgage,High School,Widowed,24,37692.0,4,0.24667267727092693,0.3966726772709269
10112,639,0.5928281823912299,87097,54,9,7,18730,6,10,Rent,Bachelor,Widowed,0,412060.0,1,0.10020840433952496,0.25020840433952496
10113,370,0.8573280642013115,158236,54,4,9,12911,9,1,Rent,Masters,Widowed,18,180754.0,4,0.24786097543027225,0.3978609754302722
10114,553,0.1531695547329973,111310,81,9,7,9176,17,18,Mortgage,High School,Widowed,8,165168.0,2,0.19679604220700123,0.3467960422070012
10115,677,0.118382153103099,62601,36,6,18,15568,9,24,Own,Masters,Widowed,0,233520.0,4,0.24594524890188982,0.3959452489018898
10116,766,0.4339080459740175,193525,61,1,13,14582,3,4,Rent,Bachelor,Widowed,3,247894.0,1,0.11819190496475568,0.26819190496475565
10117,724,0.9615800615908692,195770,29,8,0,11221,12,5,Mortgage,High School,Divorced,3,89768.0,1,0.13748340626281735,0.2874834062628173
10118,805,0.1571586696846539,84928,85,7,18,12724,6,10,Rent,Masters,Divorced,14,229032.0,3,0.2286181857114498,0.3786181857114498
10119,675,0.2382677424069076,53358,28,7,16,11718,2,23,Mortgage,High School,Widowed,13,70308.0,2,0.19545263591559275,0.3454526359155927
10120,362,0.0788234191055301,106913,43,6,4,11778,19,24,Mortgage,High School,Divorced,17,212004.0,5,0.24403483667713846,0.39403483667713846
10121,468,0.2000709954699414,87080,48,3,8,17949,5,23,Rent,High School,Widowed,4,161541.0,2,0.19727868111796315,0.3472786811179631
10122,640,0.2581598356688017,176939,72,6,7,12423,13,11,Mortgage,Masters,Widowed,12,173922.0,2,0.19587286718669655,0.3458728671866965
10123,586,0.7724810279414502,164692,54,5,0,14579,17,5,Rent,Masters,Widowed,1,72895.0,1,0.07144964149905147,0.22144964149905147
10124,644,0.0404348686515833,25711,43,8,13,2390,8,9,Rent,High School,Widowed,4,35850.0,1,0.07,0.22
10125,505,0.1584225920479093,141871,20,2,4,7491,2,10,Mortgage,Masters,Widowed,1,37455.0,4,0.24003852384567415,0.39003852384567417
10126,525,0.1034746010377488,36813,37,9,6,1791,9,20,Mortgage,Masters,Divorced,18,30447.0,5,0.24738634927373662,0.3973863492737366
10127,715,0.0443879075920414,47361,47,0,15,4989,5,6,Rent,High School,Widowed,17,99780.0,1,0.07,0.22
10128,592,0.0231491547641233,181910,63,5,14,7617,17,4,Rent,PhD,Widowed,22,45702.0,1,0.10483553352265998,0.25483553352266
10129,450,0.296537626719073,182430,50,5,10,16261,15,18,Mortgage,High School,Divorced,0,276437.0,5,0.24306366452357897,0.393063664523579
10130,447,0.2512252359050928,98473,26,3,4,13757,7,4,Own,Masters,Widowed,5,178841.0,3,0.2234555582837194,0.3734555582837194
10131,679,0.0510392344144378,129814,66,3,2,18920,19,12,Mortgage,Masters,Widowed,7,75680.0,4,0.24157348166941503,0.391573481669415
10132,657,0.6724497697981313,193292,48,8,13,12113,9,1,Rent,Masters,Widowed,18,254373.0,2,0.19449557905382703,0.344495579053827
10133,679,0.072270822793918,120217,67,2,7,16860,0,4,Own,Masters,Widowed,3,185460.0,2,0.19705667941456464,0.34705667941456464
10134,687,0.3584377784027343,162807,18,5,5,7599,12,18,Rent,High School,Widowed,8,144381.0,1,0.07,0.22
10135,514,0.4074474012817198,101149,87,2,4,7366,10,0,Rent,Masters,Widowed,18,58928.0,3,0.22630765986601548,0.37630765986601544
10136,395,0.2962248670284728,150464,20,9,14,1502,1,0,Mortgage,Masters,Single,1,9012.0,1,0.08088980193085751,0.2308898019308575
10137,404,0.54658268897434,129814,23,9,7,2756,3,9,Mortgage,Masters,Widowed,6,33072.0,3,0.22173298064690802,0.371732980646908
10138,512,0.6588003202214213,110866,21,7,4,13093,8,27,Rent,High School,Widowed,6,209488.0,4,0.2439745098175046,0.3939745098175046
10139,487,0.0229432921798831,174632,18,3,12,6493,3,17,Mortgage,Masters,Widowed,23,45451.0,4,0.24382165437329417,0.3938216543732942
10140,651,0.0028473380773569,126191,23,1,9,4929,9,4,Rent,Bachelor,Widowed,17,9858.0,1,0.10602051423232625,0.25602051423232625
10141,810,0.8086970651067672,119374,20,9,2,17712,16,27,Rent,High School,Widowed,23,301104.0,4,0.2451153118943414,0.3951153118943414
10142,631,0.4608265633376861,97278,83,7,15,9849,3,3,Mortgage,Masters,Widowed,3,68943.0,4,0.2444644720924697,0.3944644720924697
10143,411,0.1383585991779318,136571,40,8,2,9397,8,16,Mortgage,Masters,Widowed,5,187940.0,1,0.07,0.22
10144,813,0.7461235327064653,142640,44,8,14,16233,8,2,Rent,Bachelor,Widowed,21,340893.0,5,0.2523881816256559,0.4023881816256559
10145,494,0.0844598721095752,146507,40,6,11,18899,3,7,Rent,Masters,Single,29,226788.0,1,0.11648106829921008,0.2664810682992101
10146,756,0.1174543903596171,164191,36,1,12,11592,9,20,Mortgage,Masters,Widowed,10,150696.0,5,0.2322262761884407,0.3822262761884407
10147,753,0.1635030062021988,192343,44,0,2,6009,4,19,Own,High School,Widowed,24,96144.0,4,0.2488329061138151,0.39883290611381506
10148,715,0.3698050016827771,192138,52,7,4,17162,5,13,Rent,Bachelor,Widowed,21,291754.0,5,0.24464058890944906,0.3946405889094491
10149,360,0.5646101440257894,147670,65,3,6,4515,6,0,Rent,High School,Widowed,0,27090.0,2,0.1972472931337704,0.3472472931337704
10150,360,0.8073829690487893,127298,26,6,1,14414,11,7,Rent,Masters,Married,5,187382.0,4,0.25161668764360606,0.40161668764360603
10151,831,0.6286036990276237,187831,84,4,11,15097,14,10,Rent,Bachelor,Widowed,12,211358.0,4,0.2520516869763664,0.4020516869763664
10152,371,0.0239515638528958,192378,47,7,13,9995,6,24,Rent,Masters,Divorced,3,59970.0,5,0.23745137893284188,0.3874513789328419
10153,607,0.0462426615814687,35180,38,1,13,5987,9,9,Rent,PhD,Widowed,27,125727.0,2,0.2011274003344771,0.3511274003344771
10154,709,0.8102256872524756,155533,24,6,13,7982,18,7,Rent,High School,Widowed,9,47892.0,3,0.22532730568173095,0.37532730568173095
10155,572,0.2577981836974148,147615,69,3,9,7563,16,0,Mortgage,High School,Widowed,5,83193.0,3,0.22478951605609213,0.3747895160560921
10156,688,0.151997321678352,189457,20,1,5,2523,4,6,Rent,Masters,Widowed,15,5046.0,5,0.21609111746937318,0.3660911174693732
10157,748,0.4259072557436287,136424,27,2,18,10196,3,14,Rent,High School,Widowed,7,193724.0,1,0.07,0.22
10158,497,0.1545799995199004,123035,70,6,0,15743,16,0,Own,High School,Widowed,22,330603.0,4,0.2445264230425209,0.3945264230425209
10159,473,0.0618212724908584,121031,86,2,12,3940,8,17,Rent,PhD,Widowed,25,82740.0,1,0.17417973585926572,0.32417973585926574
10160,711,0.9900958460068526,90685,41,6,2,16052,10,20,Mortgage,Masters,Widowed,18,353144.0,4,0.24800768954002306,0.3980076895400231
10161,814,0.3521964793472579,107569,85,9,12,8123,9,1,Mortgage,PhD,Widowed,1,73107.0,2,0.1968196008022186,0.34681960080221863
10162,650,0.5713359223208767,30875,39,6,6,17239,16,11,Rent,Masters,Widowed,28,155151.0,3,0.22663915569857437,0.37663915569857437
10163,716,0.0583208721253963,45827,66,7,5,3063,6,18,Mortgage,Masters,Widowed,9,30630.0,2,0.19390010097492363,0.34390010097492363
10164,528,0.5293203502780279,140418,18,8,2,15170,14,10,Mortgage,Masters,Widowed,7,75850.0,1,0.07,0.22
10165,823,0.1355284118545254,102880,19,7,1,16293,13,4,Mortgage,Masters,Married,4,179223.0,2,0.19573501317983014,0.34573501317983013
10166,721,0.1625430803759918,112352,86,9,13,5172,19,12,Rent,Masters,Widowed,13,25860.0,2,0.19566174247624818,0.34566174247624815
10167,619,0.184258016316259,160377,46,7,13,5510,14,0,Mortgage,PhD,Widowed,21,44080.0,1,0.08778220607504986,0.23778220607504985
10168,772,0.5731746099589573,197815,40,5,17,7415,2,5,Mortgage,Masters,Divorced,2,126055.0,5,0.25059439803423794,0.4005943980342379
10169,819,0.4474301088317997,97537,87,6,0,18339,5,5,Rent,PhD,Widowed,2,183390.0,1,0.07,0.22
10170,795,0.1277634655010125,92089,77,5,12,2408,5,2,Mortgage,High School,Widowed,5,43344.0,1,0.07,0.22
10171,476,0.1175787281226002,48644,85,8,14,6248,18,11,Rent,Masters,Widowed,28,62480.0,2,0.19900505804717272,0.34900505804717274
10172,593,0.6870703232691371,131742,50,9,3,13602,5,2,Mortgage,Bachelor,Divorced,3,108816.0,4,0.2502717873891954,0.40027178738919544
10173,711,0.6408934514424448,58609,39,9,12,2275,15,0,Mortgage,Masters,Widowed,3,40950.0,1,0.07,0.22
10174,434,0.1759786551346307,44099,29,9,16,4237,11,1,Rent,Masters,Divorced,12,33896.0,1,0.09954657677559767,0.24954657677559766
10175,341,0.6217287961680735,71256,20,5,12,13144,8,11,Rent,Masters,Widowed,11,52576.0,3,0.22481266996390561,0.3748126699639056
10176,450,0.4555702830204406,151767,51,7,8,17884,0,16,Mortgage,Masters,Widowed,23,250376.0,4,0.2449169938216052,0.39491699382160517
10177,661,0.7779421178978929,116010,39,2,10,17074,7,1,Rent,Masters,Widowed,25,341480.0,1,0.09720797288633823,0.24720797288633822
10178,394,0.2831273866778494,70172,23,7,12,17200,3,11,Rent,Masters,Divorced,14,275200.0,2,0.19872411719735564,0.34872411719735563
10179,634,0.20779749989589,154437,49,7,3,12546,11,1,Mortgage,High School,Widowed,5,100368.0,1,0.07,0.22
10180,736,0.1439651815228666,131655,51,7,4,14688,18,16,Own,High School,Widowed,18,102816.0,3,0.2263184479125957,0.3763184479125957
10181,693,0.7294703675380584,120163,33,7,18,13456,14,5,Rent,Masters,Widowed,7,282576.0,1,0.07,0.22
10182,519,0.2089682506967494,147145,70,4,5,10404,6,5,Mortgage,High School,Widowed,28,93636.0,4,0.24512319431524787,0.3951231943152479
10183,737,0.2113257559298536,124178,34,7,3,5617,15,3,Own,Masters,Single,4,101106.0,2,0.1996594873748021,0.3496594873748021
10184,471,0.297939523416009,156132,75,7,0,19199,6,7,Rent,Masters,Widowed,9,95995.0,2,0.1934335082259053,0.3434335082259053
10185,760,0.3217756745643169,173914,33,6,1,8116,6,20,Mortgage,High School,Married,3,89276.0,5,0.2559175372198485,0.40591753721984847
10186,592,0.5903918051422958,174126,58,5,2,3106,0,5,Rent,High School,Widowed,29,27954.0,2,0.19845099982426598,0.348450999824266
10187,334,0.5785175541366961,90593,33,9,7,19658,11,16,Mortgage,High School,Divorced,1,393160.0,1,0.15765996316183956,0.3076599631618395
10188,796,0.6159973541892168,135842,76,8,5,14570,0,0,Rent,Masters,Widowed,2,131130.0,1,0.07,0.22
10189,786,0.6958342706566649,52964,71,8,0,12191,0,3,Mortgage,Bachelor,Widowed,12,134101.0,1,0.10955494226311766,0.25955494226311765
10190,760,0.8649827758893479,119239,57,7,3,1904,15,24,Mortgage,High School,Widowed,14,24752.0,3,0.22841420118772368,0.3784142011877237
10191,788,0.7623816209011908,152750,79,3,4,14005,4,22,Rent,High School,Widowed,3,252090.0,2,0.20156177657674576,0.35156177657674575
10192,564,0.1532577727424211,168856,63,7,17,14852,0,21,Rent,Bachelor,Widowed,1,207928.0,1,0.10172980844160406,0.2517298084416041
10193,622,0.1733197371964518,111795,40,3,13,16768,18,3,Own,High School,Widowed,7,335360.0,4,0.24515358474440654,0.39515358474440654
10194,416,0.3605937521902492,123020,35,8,8,1902,16,24,Mortgage,Masters,Divorced,0,13314.0,5,0.24673322204956322,0.3967332220495632
10195,508,0.1305910340607129,133855,64,5,6,17133,3,20,Mortgage,High School,Divorced,5,359793.0,3,0.22757270225557508,0.37757270225557504
10196,728,0.5565254453360942,154676,46,5,8,2861,0,5,Rent,Masters,Single,0,54359.0,1,0.11204331324913273,0.2620433132491327
10197,746,0.3536187516906793,190659,48,1,4,2587,1,11,Rent,PhD,Widowed,20,38805.0,1,0.11310130379504933,0.2631013037950493
10198,649,0.0595246310253291,58445,40,5,4,13099,8,15,Rent,Masters,Widowed,19,78594.0,2,0.19320104792959913,0.34320104792959916
10199,705,0.0168975655776311,102048,23,4,17,5393,4,24,Mortgage,Bachelor,Widowed,2,26965.0,3,0.22641333733576524,0.3764133373357652
